Coloana 1,Coloana 2,Coloana 3
hmvzsthvqhczconx,hezuwlmigtfzvzcsaxsgmmkmicaxweal,wsojmvsuqwjfhcmgkhbmufzaszjvztcplgvqsahlukhscynxzq
ioxzngtcllsnxnwg,etdssburazkusinthmlhyevyaezzzqry,fviqiravlhtkzqzgtsdqgbhkckvpvuzwlxbnpejcenagvtzlhq
tivqklmfmsovtrmf,dlxqrdlwrlfytpqdhwvmtshsfsjqhnlr,butnzgsukeqdapfvbzcnbrmborhgtgtuoglcnpzyujrwfxipbo
twjobmklffaeaomt,ggfmtsoygenztqouhppctewprapyaljf,nfayocdfqrjftpbvzxxxgvznsgulywgwhjdqbrubbowaqqkvtr
webvmjbrsuhkasoe,atbfxbijfezqseiqbuiduemrtrdntevl,jxkjeqhijiabatawhnvobvvzeqpgpytitytatephklrbjqdqkk
vzounvxtqyeknbxi,czkcarnfjgzwzxuzodqtczifblbpheac,dpartrhkfdwhuuuonyhfwhtkzfbtfpsaadlixuqciqabsxcyfz
xxmvexyegiylmwhj,xqpfjtqrmeczrbuaebdqrozgdyyktclj,lyhffulnphracbcuxwvbouffdnlucefxpcmxgeofpvzliafmcx
pfjbtsralfxuhuav,fvyscwkdfsffpwbpdxpxlsobjhobtogt,kwgswthtfjnlefmuasowqdyaofhgidbszkbqhxbrvrulhrmsro
wkicdmzmbjigjosh,hqbhnlxtpaxwzgldxwycnysdcsjfulpn,gznqvfexadkwhiibpxepdpvjrbifhvedsjvztzbwwjhmotuypn
spgdvztjpwzertmj,vqxfkadjhdprwbyidgtqxsfsqvcqhfsz,zkhyjneqcruxpshrapjlughizkmhizlpjoaekfulmngtnsvrkx
gsxaeefoxgtubgnv,csjybyaprwqozhcokiedikoalgbihyro,vjondbfrpywuveghagjxthgjzpzssoiwjknvtxccukipquqjui
gjyafwjdexefwtux,stcfeljqsnholsgrebuknjvjsqdvlejs,mvpyacgbeamhsygdeblmncmxessvyamfwzhsipbbhbaymsqkgt
acjhkqwqaccrpqdt,ampkegfnwiibqrjhnkthfjczpwyudyib,upceemqhqhnjxsckyfsjmdyhhvzlulbqofpmmraimgboiopyft
cpdxwwpsnvqcajks,fuljhzrrerzbwrqpxradsayvaxofmpyf,xuxodlesvnpegjxuvvayevndgochhwtsxelouhgzpzhgjkjbrz
gummxtvyofzhopdm,mjqfrtdjfzfgjxdjumllofougxmqhcpl,zvogstqfwtvhmvmuxtaxtxizvlkedsibuyvzsmeqtsxcjbijtg
zjxdfccfcvkpjang,cohvbkibqinukpninfhsoqvikuhpfsvk,xlirmikblgodkqucgvzuaoikjpzuievcvpsourskpnlhjvlohl
jqbiuxibnypcthwt,kyghrksvijmnpmreizqhknmsdirpqqrl,ebmmhcryzttkmqcwbmrrenjnpstynpdcorntyalcbjoipwonkw
ryouqkyhwfothaoh,lzmxhevkasnsavvlbrhfpkcijmkgnvcy,qcrnlzrkxfjgtdwzsbkohdnskzfhvlewnulnubfdykosmkntpp
hpojynargcicuela,mkaygnrcbnrrgeocolwbekyzgxroaxyn,haduzqtsljaeqvjlxlohfbezeownsabcyfrwebzleeiegktclg
gpodjimrrjgyhtyl,ddfggrlymnuxxokvmkjxowwmdfkwjcsu,sghtntoxlsacpmbrhxodepuzktoxbyyshsjmniftbdgzfrqmhr
oavghrjqpmkeetfg,pmuvwzbjoipfofcvbmlebknguthdwgcz,owaqessoszarfblntrriemkynzlqhkqptvcdtpcfpxbwlcbzla
aoduwqjlalyaqtlv,tykhiwiepxsstmlssxvjsecjxjsihgil,oynbykdfbiylugwapikjvsztognaucfzkfnkotyioqvmqsztbe
vlpykmrnrzymvqdd,ujlcdmtzkawvhjbbuzsgjlupqgjeesuq,riunoflyaxghsnihotjwgeyltpslxfzybooahppgmlvgttkeiy
vtdvefsglqtjpmhi,uwsswqwpbdwgfoqanizqqsumilxmqddp,fjcgeaqvtccmupsoezuihtyksbexekmixgukjaslezkyvdmnzv
rtnitqwwhqlxpzdj,ectcbtdwjtcytlzllnyyrjjtmeceiple,mafgkhxgxpikdvajuultedhqgthekhduazgrqdkugayxzvwgup
ulxcloovgjdsqkop,qokhrbdvoomxnntmbhvqlowesjqealix,rvztjgaoyyiokyilorrcfkbxepijadsxjvhtlqhltvzvskuovh
pxjccdgwgxbdfrkq,wmjmcszirbkzvwriwgiuwwrzpvayzogx,jeeszqszqwmgxzdnidnehoxzwpwbradaumknedzooepqtbctzq
yewvyiciksftjxtx,jfvsskqpsjyrxxyxrwtkfbhaplixaxjt,omfsnsjsesewupyfsuwbvypevggtaaqgovqiudryswcfubnyxw
rqhbcvoxxhxmenky,fevpigbutmyrszquhqvvcwqwrhwviqsc,hsbhbimcsshrwlopcfnlruuhszhktinzkjjaqamexcgxfxbvsi
osmnilshazyqdxsi,tgqoolcmsboslrjdbovixcrtyuxfwnek,btkkxruhnsfmhelctswypldeczputnddpwavytedhnsiqljzjn
sdmcbpdbgumeheel,umsqorzwgihzuzzanrwnrhpzpmhckaon,fwjigxbxjgqfecokgretvbdunnhseskbvyihunopnjnqjrgswv
rnvfmfuisvfuzmlh,xpixohuxgmpxtzaybvtqjjbdsdubmqxh,gfcgounembpkuvwbrmezogumtuymxdwrhcazufqsnzonujqzoi
hrohlvkjrrjpkrbt,udlciztwkbstoqyscopokpydhxrtpqzt,hovmhvkzguiehixymhgtczrwqtcnxypcrhkzfqzuxxxdncjvll
ieddhabbjjursrxd,tymzfpyefynafipkowsfsgipmfbpmgly,pvucuvqrdujnpvhmlmfmbhkmhjkqhdizyazhnrqzhdssixucpm
njuzgeijebicstqj,qotsdnbnzjgmwnhrwoddsrhcalrduvif,efwuwgsflffxmwjtxccsnvkhcjfjyxesviatmizyotrrplspsk
czazvpzfyrliwptf,euysomogslfdrrhjozymhfzfgbvsoufr,nedgtafmlssceuudolfyqxlrcxeewoiaeeozyjpqikcujqrqbp
pwubygxypwtqdrkl,beqdzlvwqtkkzxgxqpwpgvoqagzkjntx,pjchoorxqcpoovsrgspncxxpeyzndsfqneudoseddzlmnarywu
vtmqbkxjxlnpspjp,mwjqdxcmayxgokqspbmkjyvfirtkwnrv,ewmzcrczqrkbbhnofapqhybwhfkrpjaukynllliiorhjeuficx
ctzathgyzknohhce,horrznwatujuvhyrizkefjyqxqsivdvy,zqsrcyqwfgxqoapnrpickgkalmwltbabokpukzidsnpikxilxz
rahskplmtjoexyma,popizrekyrktlgrcblvxagogwwjpckfb,glftzbiowwxrhktnpkudorpylrvudgdyiuyxejzmsvououfkqz
qgpuilsomcnyravk,sfiscqhorjbfdiryswkbiyxtudetjfxo,hdqbvsmjollxucjdisevteelasqfzwhpmvtivwkmjabalkxpmz
wkaqgydjjgqhndiv,lqufnyxjsrnalfpvqcmvmxgdlqhdejxd,bkhhmjcnsoibtbkubnroqmpyctmnkledghmnamdzxqjkdoebam
vkmkdjxfsuvczajc,bydkftphefpulxryrjbrweeskwxlgtbb,dooadpffvwooknbfunlwudmoftiwkbpvsczwouwapmkbessfve
fccqrjtaqlfkkruv,pmtldtkxnpwsywcnkaeksywupkamuvev,osiitpdtpeehpfedlbmmqxlcujneylvbovpglqozogpepnjgio
jnyysvprptwnijxu,exxfxmfhrraztkxecooxligixnfiowav,vquoepummoijiroaxnarydtwuslbkuwatwnzngwmocvxcbygvn
pjpjjdffuehotyfb,fhzpgcbqkkzqkxelblebajwbyixwxdah,daxwyrxjsmcupkvyhqbskanbeaegjwkhnuvicdnwftynfoeoqe
evheubmfswzegnwy,ryxbdqtapohqcikqeozkzuecnlqurajr,zxevnkbygjhbectasemfkmlbgwiularlpkqklzijntqjqbtxwn
mikrxyhqpbxlltyg,ssjxnhzydcddrijaxijuzxmaqwbysqbi,iamwztuarldksjebmxppomvzuwporljspyacmxylxitwzfimgd
jspjrberoaaskqhc,zguhdtomdhgwuokwobiveilwhsfebcsw,yldwipzttphfwxznneyzyeaupmiekvtkavtjbpuwwvxzjdfjqg
rcnweiykuntxsvdw,raixlbjsgzuangqafupyaudrvflmnvpt,ljyolwmxtxtinygopfdobxjplvzsywafzmzxarlhflceuotxsg
yslvpsjdairhnfhz,sbidgssgovtdnshtzdeowdildciwsnia,cdecakjiqmoddwlusigfohuedbottoimrkxukzoeoydauwwzil
iohhyrjizbdhjbuc,finbyfxowifojyohotsfekyfucesfsjn,acnarpuyddjcthferdthsvtxszcucvncvfigvlsphssiehjeda
hmkltropefqvnzmr,vwvuohohbqrvukwthxvsdpiiigpuisqj,bwbwmsnrsjdqqmmmcisjxmvnrdypvdnfepbfowebvyyuvqjgeb
trvnhdkjgxptknne,rxizcftlirvqbltjdnredgpmxxsohjvm,jzxnkwwexdypwszzmnqdmijfaycaftmcizzaepokqgpiubkozt
lsupwwawzamghude,vwbegdjypxgaaqfxxqymuvimrzluysrw,eywegwrortkzanrxylvsbdpthqcpwpbzpdfigejopqfkgijsdt
rhbqvqtuumagwcnf,qazqtgpvqlypbcmbunwmzwkbtdkcnqqb,xmjtnpoxguyyjzvnmbjfgylfduydjxulbaezgadsmthqiotwtf
ucpnoezpmhwmssir,epzhmgpsgdiyslkiuxhdnpjzhnxbanuq,jmfdrniuooqboocptnbmgbahbwrcjxjlzbbqvnlcziutpswfuw
rkdldnrheilqktez,fsxuevynxxvnsbtifygigdyxljafdzcy,ekxvzwaifskiuhjeovcuhtyuhyknkiruzulqoannpyeqdeyywl
rtnlrltwnifshtpa,fvvbmqcbwggmcexluqvsugpynueeboim,dreskbzposxkcpgrkuzocvrrfygqlnbkurzlhbldgkqkxngpct
ftkptpgsawuajnci,aqnbojrcfzwleagqhfpxmwhtgndicbsf,ybczkmgezhsnylkesrfpdzxunudlgmdrhaoarivriqzsvvhomo
kzbidvzwgkbaqkve,wvasincxrfsfvaytkfndvlpedlogaxza,kuzrliddtkqpzhxgskakbumhgfhkuzszcurjroeaklivlrhlkm
rcwmigxjpoufpshk,nkiwszuyrgrxgremnendadzugorhecoj,oegyxaisodqtcqtqhrazuttqslntvqocjofxmjfgmtvzajmavs
fnpzlqjbjdqmykds,kosafsthexadguilyiitgecixovfzcet,hxqawwxrggptztugcbiaxxtnhwupnnvckdinyxygmaykiuwddk
skvvpefweqtcvvpx,kznvntdvrcappclwgrssuvboqjlqfoln,ygfkzizvgjcwcvgijfhbhidvklwzaioaetolvnfxfpnpdzgabg
dmjqgbidideliyoa,fegyamwchfedpdwfwlcbmirotvgtysly,vuagqenanufqadrnariacdnfditexkrguapcctsvpzmbulxfly
tcosipuujzkvcjgt,jyzaziemvwlreycpadypazejorniceqa,bfgksnubccbhrxvppjyligbiicwdwmecyxqkzjuwbjovunmdgs
llyoxkuchjfdseki,fdrmazedozmauifkwokggozryrzaiczy,qdsgdonoezjtpmegldaoxibgvrlqxnawoqzzfikobdacthifpl
tllfpejsaxiosima,kqqrbwbkmyaiqvlbpqfidutaqwjveqmz,mnhekkbjywnwindadeyeswwoniytokjfhggtiugvsjttsoxkim
znlpsrwzrxowafvc,wdypcsmdxrwpftrewrulhyuagyezyurv,ynrwljopblduxsearnhdarzhnfjceuvbshgfeeoefwrpztmadm
fqjiyzfdveaxujsm,tzxzubqjddfexlnclfzpyxqsboidepad,dxjawkhxdcbvbcwstxebrncmqrripadxgpzlunuulxtxehmwiq
zlwrbauaxelpxhkz,izxpudruairxntwxlblcavchjorkzlko,otdjbgrteizqocnsibekcbvzgfnblzsvxdnfhiphoofhnmbpvd
ohvdxcqzbspxwiol,unkcphobxbrlykbsaguisqxbtsqrubfg,jpxcclndxhttntpgfsegrgykoangcbgtiuzfbjaveilokjjejq
ujsoqcrrzqilvmdt,nnexheocludqtewkxronkupamciuiuxc,zvzxdkkboagpztvencrypghcxvbokqcwpxsivcxienqwxwlzbq
cygdxszqybphbeej,mfmrodmhozodjppczqgnanfdgdggzxvb,xeilvhgabrfjnzhmwjzibdlcsbyycnrylymxuhnxtdikqptlnn
cwgteizwthfczvcr,wqmnptsgveknhajfczcrtnmwawpecmxt,agknieokszgnkdmxgfkuppytxdgdxynvfiithziszzomrnayiw
kjbnmgrgvkxsvndv,pzmetekutmzvjykjjbtncvdcirycirdh,klmtacpsoutgkvpjelsbtavlypxuzzuzarqcvpkhjnbgiuavyw
monaxyofvgkfdlax,txlexglnihataptgmgjydvqcsynekree,vkzveztodrmlppydmkqrmhspfnzvwfxznjkqczyxtfbjhbtekm
kfgadrbvwxxezrmy,ajhmyncjwixyjrgwckeymbugyxemjpue,lamkfunbcixsyuzbwgmsedfqizngpwzzolrjhkrymyxlqadigx
rmotjffglrwgwaly,jmpvspattbogjcpyefxanqkvohhdcqbp,lzxaaikdrisajxkxfuaqkenzpocaovcilgreygzehrcgsrcmsd
cjveuwzvwbzsjktu,uloogqvsyvlswhzdiwcnebfyxxqydkur,aruzefaywndiaxdjvzzsahlkphhuctmmxfpibylzbktoqzxqiu
lffgbghqfhvbkwig,uinaexgdfdfewbfgbvdyzzntnadnclfi,unqljzumjruytnjqebstfyiihcupsoibdqyaowpraorngfvdzp
uvvnerporabpbzbt,vahbgxpneavhxmfjxrwrhwdlowhvlbon,ssbrwksnlzynwjetdutjpbazjtoenlnlnwqsvvmpxkxsuwwbms
nerkwsqdshmkguco,mcnjnennittwfxodqxelrkptrujokmfv,nbndoypwcqssiqzyqbuzvqbarvnblkmdsjoysksqvwkjstposc
gtqlrunfsrgexlkb,cpxlkpidrmkrnzscddkqswvxdlbtqgto,gmbkxqwmberrvpzkuwnbfxzxpgljofuikpzwlufhvakvypolzg
bjbaedtmjkrrzzyi,bunbttrvfhqzvuirbtyoksuenslkbnwg,bnbkdtqhcokfzicpzrotwaiazukjnbrzmcoenqkdzldxauzhqj
kfezxygjsxvkfmvx,utnaxuqcclcsqygshlbxnxjsgvmjfwrb,vsjkfjokjejfmdmsrwkkhuqncqkieeinjqkacwqqmsjiqsnpig
rcuvngzarasezacn,zmfkkcgfeliocayqukeckktrnkptjaon,sulpsdtvinhyjwjwaxrprimyvhsqbyqrojabcrzxtplgvmpqsy
vyxeoqxjnzdnhape,esrtwosqveocxouzcijqsodstzfrdrnb,qeayitdbdfbzyewuixgkgdohtswivhzmqzftlvvppdnvmetxec
eyliuzyhuwxdovwo,kmoqcsnwydslnolrosgeewzqapmrptvl,mhvwmzzgrcxnvywwmoblovqbjqtnjgsrtpttikpmzgtsnfyald
ahdbdfbvdchnrlrq,ylgmdhvwvipjwfjhlcucwjgfvmoxutef,rwlpwlmxwfgbmotgwytgfldffahtfcpmrzsllurtzjmtjiljjr
qeebgcugzcigvnpv,zhzgezmwhkdkwxfdkjjneoandimtpski,txzplcrchbtoiekfuoutvkofjuomtfsaruitkveoywvmxxchsi
jckczycqdurtlvzr,lmjqpgrymutmfoawjukxdpscfqqjhpux,icabiohdwgfdpupjmftkacbgskwdczrxahdgnuqhqqrjeppxcg
bctctqwffjxfiemp,tdihtsvqhtwwyipxkyhbaqncwiwifbns,vssvglqdivgymcakzwjbdunxrhwpbdyblwoshpjhnzrcgvivak
sxqlklfxwoyjmiri,datcqvszvntjjhowwdxkaxbwfndfnhun,fejzfuvudseazcunkcojtnouertdmixptckbwypgpsfpxfyfru
eczznoeylpfruwtr,tturwdsygjrtkyweztjolnjrytbjrpue,wujjkoszaxxtiandwomwjzoqpzpwgzssanypxduxfxsaybment
xdamsvdmlvfwyizt,qmixsvumzyehkdokpsfimtnbwmitunhu,dcbbymyxqmwulqhlwxvlwsjssonfbmftlnbpnoshzjxuxoipnd
xrrtboufmlnkdnyo,pmfpnubjhsrrelncobwqmajflozrzrqg,cvdbuqhsbshbehmwficaecwepkdgpdaeulwgsiomymfzahosfx
evlabinjpdlflvxu,xodbogipxtecyzmszxeysiwvrnzreswq,opahamxwuescccdznvsububervijsjmfnreiuypyjnnbgcvavp
